epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,278.992,1.20941,1.51777,1.07229,0.80583,0.47377,0.58431,0.38164,1.48587,2.1365,1.30501,6.27567e-05,6.27567e-05,6.27567e-05
40,286.082,1.06426,1.61189,1.08004,0.80583,0.47377,0.58431,0.38164,1.48587,2.1365,1.30501,5.92576e-05,5.92576e-05,5.92576e-05
41,293.197,1.21433,2.03073,1.19745,0.79026,0.48469,0.57907,0.37154,1.47867,2.11718,1.3005,5.54944e-05,5.54944e-05,5.54944e-05
42,300.292,1.23939,1.98009,1.15808,0.79026,0.48469,0.57907,0.37154,1.47867,2.11718,1.3005,5.14671e-05,5.14671e-05,5.14671e-05
43,307.482,1.2325,1.87016,1.16163,0.78937,0.50104,0.59307,0.38353,1.46862,2.09802,1.29458,4.71756e-05,4.71756e-05,4.71756e-05
44,314.52,1.12773,1.71559,1.15513,0.78937,0.50104,0.59307,0.38353,1.46862,2.09802,1.29458,4.262e-05,4.262e-05,4.262e-05
45,321.74,1.24166,1.87849,1.1945,0.79944,0.50765,0.59645,0.38734,1.44615,2.09497,1.28782,3.78002e-05,3.78002e-05,3.78002e-05
46,328.693,1.16093,1.65025,1.11397,0.79944,0.50765,0.59645,0.38734,1.44615,2.09497,1.28782,3.27163e-05,3.27163e-05,3.27163e-05
47,335.807,1.19957,1.83941,1.15569,0.77175,0.50104,0.59595,0.38894,1.44101,2.08386,1.28453,2.73683e-05,2.73683e-05,2.73683e-05
48,342.869,1.1492,1.80259,1.11825,0.77175,0.50104,0.59595,0.38894,1.44101,2.08386,1.28453,2.17562e-05,2.17562e-05,2.17562e-05
49,349.983,1.20177,1.82614,1.10579,0.75872,0.5177,0.59957,0.40143,1.41504,2.0529,1.27306,1.58799e-05,1.58799e-05,1.58799e-05
50,356.964,1.13046,1.66369,1.13662,0.75872,0.5177,0.59957,0.40143,1.41504,2.0529,1.27306,9.73953e-06,9.73953e-06,9.73953e-06
