epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,299.891,1.16439,1.28778,1.10616,0.92578,0.56358,0.74674,0.50335,1.28018,1.63345,1.26832,0.000112376,0.000112376,0.000112376
42,307.169,1.10457,1.37839,1.15,0.71045,0.73942,0.77,0.48909,1.29768,1.64567,1.27876,0.000104189,0.000104189,0.000104189
43,314.278,1.02836,1.19912,1.06435,0.71045,0.73942,0.77,0.48909,1.29768,1.64567,1.27876,9.54744e-05,9.54744e-05,9.54744e-05
44,321.495,0.93143,1.18736,0.97219,0.69932,0.74226,0.77173,0.49066,1.29415,1.63216,1.28023,8.62311e-05,8.62311e-05,8.62311e-05
45,328.408,1.28131,1.73165,1.25113,0.69932,0.74226,0.77173,0.49066,1.29415,1.63216,1.28023,7.64595e-05,7.64595e-05,7.64595e-05
46,335.469,1.06183,1.24716,1.03952,0.90703,0.6204,0.75122,0.49789,1.26244,1.58676,1.26159,6.61597e-05,6.61597e-05,6.61597e-05
47,342.54,1.50535,2.23332,1.24391,0.90703,0.6204,0.75122,0.49789,1.26244,1.58676,1.26159,5.53317e-05,5.53317e-05,5.53317e-05
48,349.803,1.17177,1.51847,1.16265,0.88865,0.61611,0.72723,0.49941,1.27772,1.58018,1.2837,4.39753e-05,4.39753e-05,4.39753e-05
49,356.927,1.30027,1.74319,1.12645,0.88865,0.61611,0.72723,0.49941,1.27772,1.58018,1.2837,3.20907e-05,3.20907e-05,3.20907e-05
50,364.119,1.38053,1.89122,1.31425,0.84695,0.62157,0.72319,0.49759,1.2589,1.50456,1.26598,1.96778e-05,1.96778e-05,1.96778e-05
