image,n_gt,n_pred,mean_iou,min_iou,max_iou
11.jpg,9,300,0.9327802208623963,0.8265193370165745,0.9734596347499573
12.jpg,13,300,0.8580498814970637,0.6422764227642277,0.9474547362896878
15.jpg,8,300,0.826028841297645,0.6699398889551691,0.9403416008626987
16.jpg,5,300,0.8299964133696334,0.5345454545454545,0.9363329626931483
18.jpg,5,300,0.8999081669429202,0.8398290819629678,0.9335275341659177
19.jpg,10,300,0.8404238060919621,0.5414738718852146,0.9785610675950102
20.jpg,9,300,0.8712026455646787,0.7650574712643678,0.9366297159922616
21.jpg,8,300,0.8527452171465395,0.6880517951736316,0.9491300745650373
22.jpg,8,300,0.8464314637275054,0.6135694093140902,0.9609629425961568
23.jpg,6,300,0.8295820827472641,0.7591154060583535,0.9658147018684818
24.jpg,9,300,0.8379495811366043,0.5541782729805014,0.976874602532231
27.jpg,9,300,0.7494869383630653,0.2186240349798456,0.9690159905979557
28.jpg,7,300,0.8962122491164594,0.7903515944399019,0.9531998319563086
29.jpg,7,300,0.854425314978779,0.6232600363122857,0.9416351469304626
31.jpg,9,300,0.6520760477088553,0.0,0.958753409312293
32.jpg,8,300,0.8980675209352227,0.7016706443914081,0.9824074074074074
35.jpg,10,300,0.8391503627723486,0.6670319634703197,0.9778727510856827
