class_id,class_name,mean_iou,std_iou,count
0,cabina,0.6845782473473946,0.3333989277743975,6
1,salon,0.9198953056456086,0.06570018108543263,33
2,vestibulo,0.8868342759545558,0.07641952180138038,20
3,wc_normal,0.89089247277485,0.036145942647726616,11
4,bufet,0.8666987903325447,0.06435970548918235,2
5,fuelles,0.8036624461386346,0.09882653448373953,26
6,anexo,0.773806257795947,0.17177513666390215,27
7,bicicletas,0.794616666073371,0.09392209283260462,6
8,personal,0.7863988674610565,0.1280001931098673,4
9,wc_pmr,0.8348617690690266,0.07742759319552489,5
10,corredor,,,0
