image,n_gt,n_pred,mean_iou,min_iou,max_iou
11.jpg,9,300,0.9089584734627264,0.72880658436214,0.9639433097123802
12.jpg,13,300,0.813478858018983,0.6850171405525307,0.9475108416935494
15.jpg,8,300,0.7570306429887652,0.46036771649169583,0.9392669601654909
16.jpg,5,300,0.7547082615109589,0.49262231426352576,0.9460829674548641
18.jpg,5,300,0.8808446820026543,0.8411971634373778,0.9139904681305955
19.jpg,10,300,0.821322446304811,0.5527126021870686,0.939330360192441
20.jpg,9,300,0.8200540414851143,0.7083002382843526,0.946982378184253
21.jpg,8,300,0.8511519408756781,0.6674747474747474,0.950067261961507
22.jpg,8,300,0.8648990814612583,0.7545793280521026,0.9717864404227013
23.jpg,6,300,0.7664051996016497,0.6489602635371629,0.8822453954496208
24.jpg,9,300,0.7568847226737131,0.12160141120527668,0.9327950175616468
27.jpg,9,300,0.7542483420105679,0.24645122319540924,0.9501886114603916
28.jpg,7,300,0.8729970554003416,0.8051821070642875,0.9692174054670322
29.jpg,7,300,0.8240446776870198,0.6186526743398781,0.9321445113478463
31.jpg,9,300,0.6920227616242488,0.0,0.9384967555194007
32.jpg,8,300,0.8943801976177075,0.7553956834532374,0.977143612101995
35.jpg,10,300,0.7173639796896316,0.4996651829676606,0.8227318803852002
