class_id,class_name,mean_iou,std_iou,count
0,cabina,0.7294083455517945,0.33272915203533016,6
1,salon,0.8862346840858711,0.07494690923658578,33
2,vestibulo,0.830863553148759,0.09760371735918495,20
3,wc_normal,0.8480859414329853,0.09234205544596137,11
4,bufet,0.8948402597882681,0.014055653510444854,2
5,fuelles,0.7931832175706331,0.10853558271752643,26
6,anexo,0.7001825282383011,0.20219974012249228,27
7,bicicletas,0.7646580871487302,0.1431126031086931,6
8,personal,0.8113901973084289,0.07405995277138809,4
9,wc_pmr,0.8454989235959088,0.05354910129998998,5
10,corredor,,,0
