epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.56968,2.3641,5.96453,1.71913,0.68199,0.0303,0.03762,0.02988,2.39661,4.57009,1.95144,1.334e-05,1.334e-05,1.334e-05
2,18.8648,2.3008,5.10673,1.68446,0.71,0.0303,0.04071,0.03085,2.39509,4.41681,1.90398,3.26897e-05,3.26897e-05,3.26897e-05
3,28.3277,2.15775,4.28147,1.56991,0.716,0.0303,0.0518,0.03472,2.30477,4.30361,1.81795,5.12469e-05,5.12469e-05,5.12469e-05
4,37.7235,2.04782,3.79883,1.51317,0.52633,0.0836,0.06462,0.04035,2.16687,4.13546,1.66155,6.90118e-05,6.90118e-05,6.90118e-05
5,47.0977,1.76973,3.15516,1.34191,0.6024,0.0836,0.09272,0.04995,2.16394,3.91465,1.57288,8.59843e-05,8.59843e-05,8.59843e-05
6,56.5244,1.82439,2.84403,1.37809,0.46674,0.15711,0.12117,0.06014,2.11319,3.6049,1.53584,0.000102164,0.000102164,0.000102164
7,66.2143,1.54924,2.42918,1.25416,0.80776,0.13603,0.19587,0.10519,2.05637,3.24906,1.51661,0.000117552,0.000117552,0.000117552
8,76.5565,1.69087,2.64979,1.37421,0.46806,0.24855,0.23235,0.12292,1.99955,3.07228,1.5145,0.000132147,0.000132147,0.000132147
9,87.4844,1.49293,2.23882,1.25766,0.68459,0.25624,0.27483,0.15034,1.77753,2.84003,1.41991,0.00014595,0.00014595,0.00014595
10,98.298,1.40664,1.91233,1.25286,0.60321,0.33255,0.28478,0.14772,1.66051,2.89357,1.35122,0.000158961,0.000158961,0.000158961
11,108.954,1.40927,1.85546,1.20228,0.61662,0.3513,0.30777,0.16852,1.56533,3.193,1.29929,0.000171179,0.000171179,0.000171179
12,119.618,1.35798,1.74838,1.15526,0.65668,0.34995,0.33536,0.18659,1.54173,2.88214,1.2833,0.000182605,0.000182605,0.000182605
13,130.374,1.25997,1.53375,1.13246,0.46813,0.41487,0.40341,0.24168,1.44546,2.31794,1.21751,0.000193238,0.000193238,0.000193238
