epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,141.144,1.27137,1.54327,1.09821,0.53703,0.38954,0.41539,0.25452,1.40407,2.13264,1.19064,0.000203079,0.000203079,0.000203079
15,151.779,1.29949,1.48334,1.12947,0.64639,0.41097,0.4708,0.30692,1.32856,1.85599,1.14627,0.000212127,0.000212127,0.000212127
16,162.419,1.266,1.61283,1.12217,0.67754,0.43927,0.51739,0.34878,1.30677,1.84955,1.15338,0.000220383,0.000220383,0.000220383
17,172.717,1.19619,1.3398,1.07148,0.50424,0.59572,0.51616,0.36626,1.23764,1.8348,1.14468,0.000227847,0.000227847,0.000227847
18,183.118,1.15694,1.30807,1.08272,0.70356,0.51913,0.53848,0.38535,1.18185,1.85656,1.13071,0.000234519,0.000234519,0.000234519
19,193.585,1.14531,1.28427,1.08696,0.70647,0.47628,0.54943,0.4005,1.14066,1.77899,1.12202,0.000240397,0.000240397,0.000240397
20,204.029,1.12098,1.18468,1.03761,0.72206,0.46101,0.55359,0.40164,1.13107,1.60362,1.12908,0.000245484,0.000245484,0.000245484
21,214.491,1.11115,1.21798,1.05525,0.56997,0.67399,0.57597,0.41103,1.15744,1.49027,1.13731,0.000249778,0.000249778,0.000249778
22,224.715,1.07404,1.14759,1.02425,0.68702,0.6312,0.58349,0.42874,1.13847,1.48789,1.12583,0.00025328,0.00025328,0.00025328
23,234.805,1.04209,1.02909,1.02854,0.74777,0.62608,0.62901,0.46745,1.116,1.47949,1.12232,0.000255989,0.000255989,0.000255989
24,244.703,1.0746,1.06411,1.00691,0.84608,0.61416,0.6998,0.51968,1.12049,1.40322,1.12128,0.000257906,0.000257906,0.000257906
25,254.403,1.1033,1.19952,1.04801,0.80755,0.6468,0.71591,0.53991,1.09922,1.32614,1.10555,0.000259031,0.000259031,0.000259031
26,263.932,0.9723,0.9471,0.99638,0.73388,0.67504,0.72013,0.54381,1.09304,1.29451,1.10175,0.000259363,0.000259363,0.000259363
27,273.29,0.99647,1.01686,0.98525,0.80204,0.61339,0.7216,0.55063,1.08072,1.29409,1.10563,0.000258903,0.000258903,0.000258903
28,282.747,1.04481,1.07389,1.03039,0.7493,0.66702,0.72271,0.55877,1.07345,1.31,1.11341,0.00025765,0.00025765,0.00025765
29,292.205,0.99375,0.96009,0.98727,0.7493,0.66702,0.72271,0.55877,1.07345,1.31,1.11341,0.000255605,0.000255605,0.000255605
30,301.925,0.92973,0.93725,0.95855,0.77745,0.68844,0.73003,0.56511,1.04328,1.28847,1.11133,0.000252768,0.000252768,0.000252768
31,311.691,0.95223,0.93035,0.97585,0.76847,0.69123,0.73805,0.5637,1.03269,1.24456,1.11384,0.000249138,0.000249138,0.000249138
32,321.436,1.03164,0.94765,0.99544,0.80678,0.66863,0.73329,0.55689,1.02042,1.21646,1.10868,0.000244716,0.000244716,0.000244716
33,331.562,1.00062,1.00206,1.02698,0.80678,0.66863,0.73329,0.55689,1.02042,1.21646,1.10868,0.000239501,0.000239501,0.000239501
34,341.538,0.8561,0.82127,0.9455,0.82229,0.67653,0.73894,0.58041,1.00949,1.21607,1.09491,0.000231182,0.000231182,0.000231182
35,351.026,0.89602,0.88942,0.93159,0.67091,0.72208,0.73629,0.57887,1.03253,1.20449,1.10509,0.000217976,0.000217976,0.000217976
36,360.149,0.86971,0.79894,0.94548,0.80104,0.70728,0.74403,0.59872,1.02792,1.17337,1.10284,0.000204769,0.000204769,0.000204769
37,369.524,0.86735,0.77823,0.93687,0.80104,0.70728,0.74403,0.59872,1.02792,1.17337,1.10284,0.000191562,0.000191562,0.000191562
38,378.792,0.85283,0.82377,0.95717,0.66711,0.72412,0.74584,0.59115,1.00667,1.12443,1.09549,0.000178356,0.000178356,0.000178356
39,387.964,0.85463,0.78226,0.95296,0.7731,0.71641,0.76149,0.60409,1.00464,1.10111,1.0935,0.000165149,0.000165149,0.000165149
40,397.179,0.78246,0.75024,0.92563,0.74604,0.70477,0.75734,0.58078,0.99892,1.06537,1.09215,0.000151943,0.000151943,0.000151943
41,406.362,0.81679,0.84227,0.92152,0.74604,0.70477,0.75734,0.58078,0.99892,1.06537,1.09215,0.000138736,0.000138736,0.000138736
42,416.024,0.83891,0.8834,0.92871,0.74248,0.70743,0.76182,0.57997,1.00778,1.05079,1.09862,0.000125529,0.000125529,0.000125529
43,425.333,0.79157,0.80376,0.93954,0.75337,0.70238,0.77144,0.59093,1.01201,1.05602,1.10511,0.000112323,0.000112323,0.000112323
44,434.594,0.76939,0.75019,0.89919,0.83157,0.65207,0.7839,0.60838,1.01375,1.05312,1.10739,9.91162e-05,9.91162e-05,9.91162e-05
45,444.072,0.85365,0.80495,0.94939,0.83157,0.65207,0.7839,0.60838,1.01375,1.05312,1.10739,8.59096e-05,8.59096e-05,8.59096e-05
46,453.826,0.77974,0.76204,0.92023,0.89023,0.6204,0.80042,0.62714,1.01036,1.04469,1.10694,7.2703e-05,7.2703e-05,7.2703e-05
47,463.263,0.81865,0.72909,0.89904,0.8154,0.6756,0.80883,0.62814,1.01712,1.03858,1.11118,5.94964e-05,5.94964e-05,5.94964e-05
48,473.015,0.85627,0.79492,0.95109,0.81578,0.67743,0.812,0.63271,1.00663,1.04025,1.10492,4.62898e-05,4.62898e-05,4.62898e-05
49,482.562,0.90808,0.76961,0.99762,0.81578,0.67743,0.812,0.63271,1.00663,1.04025,1.10492,3.30832e-05,3.30832e-05,3.30832e-05
50,491.853,0.98478,0.96466,0.96144,0.82361,0.69846,0.81939,0.63071,1.00351,1.04109,1.10405,1.98766e-05,1.98766e-05,1.98766e-05
